IPIC Ref No.,IPIC Comment
IPIC-1038,Surveyor states no issues. although the shippers Temptale reflects temperatures below set point. 
IPIC-1039,"Maersk Line data logger not sighted. Shippers temptale was activated on the 17th December and records a rapid pull down as to be expected. Trace is at 14 C up until the 5th January when it shoots up to 25 C by the 10th, brief and rapid pull down to 15.4 C, before climbing back up again to 23.9 C until the 15th January when the trace drops rapidly to 14 C which is more or less maintained for the duration of the voyage.  This is one of a number of incidents on this vessel and we have recommended recovery action is taken. "
IPIC-1040,"No claim expected as it is believed that the pineapples can be sold without any loss. The RCM log does show that container was off power for more than 3 hours - 3 times during the voyage. 26/1 for 7 hours during discharge from vessel in Rotterdam. 27/1 for 11 hours during stay at terminal in Rotterdam. 28/1 for 13 hours during stay/gate out terminal in Rotterdam. Temperatures stayed within the 2 limit of set point during the whole voyage. Relative Humidity was constant around 97 - 100 %. This in our opinion is to high and maybe the reason for the development of moulds on the peduncle.  In case a formal claim is received, we would recommend recovery action against the terminal in Rotterdam."
IPIC-1042,"Based on the temperature chart, there were no issues with temperature or reefer operation. All 20 bags were subject to the same conditions, however, only 8 suffered from mould on the bags, which supports surveyors opinion that cause is due to  packaging and/or loading process due to spillage and general lack of husbandry to keep the bags clean. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1049,"Surveyors comments noted.With regards to data logger analysis, we have following comments:1) MNBU3044412 & MWCU6717524 we were not able to find any data in RCM.2) MWCU6270159. temperatures are partly below set point and the data for the last 16 days of voyage is missing.3) MWMU6398366. pull down a bit longer than expected, after which the temperature is maintained within range set point. There is no temperature data for the last 18 days of voyage.4) The data loggers retrieved from RCM, show that all remaining containers performed as to be expected and with temperatures in range of set point.5) All containers had a 11-12 days layover in ESALR6) All containers were at Mersin teminal for 6 days before gate out for delivery.Conclusion:With a total transit time of 51 to 53 days, even with the bananas packed in banavac bags, they have reached the end of expected green life. We therefore consider that damage is due to the extended transit time. "
IPIC-1052,"According to A Colour Atlas of Post - Harvest diseases and disorders of Fruit & Vegetables product shelf life of peppers 1 to 3 weeks at 7 to 10 C.Postharvest Technology of Horticultural Crops, UCDavis quotes 2 to 3 weeks at 7- 10 C, bell peppers and paprika. Hot peppers 5 to 10 C. Actual transit time was 15 days, what we currently do not know is  when the peppers were harvested. "
IPIC-1053,"PIC COMMENT:No comment."
IPIC-1055,Agree with surveyors comments. 
IPIC-1056,"Agree with the surveyors remarks. Recommend recovery action against vessel operators of Dal Karoo in the event a claim is submitted for issues between the 4th January to the 23rd.  "
IPIC-1058,Surveyors remarks noted. In the event claimants dispute the surveyors comments then they should be called upon to produce their temperature records for analysis. 
IPIC-1059,Agree with surveyors remarks.
IPIC-1060,Agree with surveyors comments. Await data logger. 
IPIC-1062,Agree with surveyors remarks. Will comment on causation further if a claim received and full data and event logs made available. 
IPIC-1062,Agree with surveyors remarks. Will comment on causation further if a claim received and full data and event logs made available. 
IPIC-1063,"Agree with surveyors remarks, although event log not sighted. Recommend recovery action against the vessel operators for the unit off power between the 2nd January and the 23rd.  "
IPIC-1064,Agree with surveyors comments data logger required. We have also requested via Spain customer services report on the condition and repairs to the container and whether there is any information where the damage could have occoured.  
IPIC-1065,No comment. 
IPIC-1066,Agree with surveyors comments. 
IPIC-1067,"No comment, await surveyors review of data logger.  This was one of a number of issues with this particular vessel which we are currently looking into. "
IPIC-1068,"Cargo in apparent good order, no claim expected."
IPIC-1070,Agree with surveyors remarks. 
IPIC-1071,"One of ten containers shipped under the bill of lading. No other reported issues. Requested from customer services Japan data logger and tracking details to verify whether the correct carriage temperature was maintained during transit. Will revert in due course.  "
IPIC-1072,"Surveyors comments appear to suggest consignment will be accepted by consignees. Issue would seem to be a reefer malfunction and we will comment in more detail on this aspect if a claim is presented. "
IPIC-1073,"No comments at this stage, but if a claim is pursued by cargo interests then the sample analysis results issue will need to be addressed, and that CA was switched off for MCAU 8559685.     "
IPIC-1073,"No comments at this stage, but if a claim is pursued by cargo interests then the sample analysis results issue will need to be addressed, and that CA was switched off for MCAU 8559685.     "
IPIC-1074,"The correct temperature was maintained during the voyage and no malfunction was reported to the unit.Pineapples have an approximate shelf life of 28 days, Postharvest Technology of Horticultural Crops.In this instance the transit time from gate out to delivery was 34 days, and therefore we are of the view the fruit was approaching the end of its shelf life. "
IPIC-1075,Data logger requested to verify cause if a claim is presented at a latter stage.  
IPIC-1078,"Surveyors comments noted.Data logger confirms that set point was manually changed to 5 degree C on the 6th January @ 20.51 hrs.We recommend that full recovery is pursued against responsible 3rd party due to unauthorized change of temperature settings and consequent causing cargo damage."
IPIC-1079,"Consignment a total loss. Maersk data logger not yet sighted. Shippers temptale was activated on the 19th December and records a rapid pull down, with the trace up until the 30th December at 14.5 C. On the 30th/31st there is a sharp rise to 18.4 C and this trend continues peaking at 22.8 C, which is more or less maintained up until the 17th January. Therefter the trace slowly drops with 19.2 C, reached by the 30th January.  Tracking details not sighted but we believe the issue with power was on loading to the Maersk Nenburg and we are aware of a number of other reported issues to containers on this vessel.  Recovery action recommended.    "
IPIC-1080,"One off 10 containers shipped under the bill of lading, no other reported issues. Bananas clearly show UPD ranging from medium to heavy. Cause, as per shippers Temptale and RCM log low temperatures down to a low of 7 C, bananas will develop chill at 12.8 C, during the early stages of the voyage.  Also for 21 days there are no recordings on the RCM log."
IPIC-1081,"Surveyor found no significant issues, would not envisage a claim.If in the unlikely event such is submitted we will then comment on the data logger readings.  "
IPIC-1081,"Surveyor found no significant issues, would not envisage a claim.If in the unlikely event such is submitted we will then comment on the data logger readings.  "
IPIC-1082,No issues as reported by surveyor. 
IPIC-1083,"We do not expect claim to filed, as damage to cargo clearly is related to stuffing/unstuffing."
IPIC-1083,"We do not expect claim to filed, as damage to cargo clearly is related to stuffing/unstuffing."
IPIC-1084,Agree with surveyors remarks. Recommend recovery action against terminal in Costa Rica for not plugging in unit.  
IPIC-1085,"Surveyor states no damage, which is a surprise bearing in mind temperatures of -3.4 C were recorded.    "
IPIC-1086,"Issue was limited to several boxes due to disease manifesting during the course of transit. Surveyor reports no other issues. Temperature records not sighted. "
IPIC-1087,"The temperature log show that return air at all times was within acceptable limits, with no indications of low temperature.On several occasions the supply air temperature goes down to around 11.5 C.The pattern of damage whereby the lower layers were affected by UPD is consistent with a bottom air delivery system with pulp temperatures dropping below 12.8 C.In our opinion we consider mostly likely the problem occurred in transit. "
IPIC-1088,"Without the data logger it is difficult to speculate on whether high temperatures were the cause of the ripes. Pulps above 15 C and in this instance recorded at 16.4 C on ooccassion are indicative of the ripening process being triggered.   With the limited quantity affected approximatly 4% - the most likely cause is pre-shipment issues manifesting during the course of the voyage. However, we note ventilation was set at 80 cbm, which in our opinion is to high for bananas with the norm 10 to 30 cbm, and this maybe a factor. We have recommended the data  logger is obtained and held on file pending a formal claim submitted at a later date. "
IPIC-1089,"From analysis of the data logger start of the transit readings are correct. On the 17th December the unit starts to malfunction with high supply and return temperatures and in our opinion this gave rise to the fruit being triggered and the ripes as seen on outturn.  "
IPIC-1090,"No claim expected. Two individual packages of pharmaceuticals have become slightly damaged, which occurred during unloading of cargo and consequently not carriage related. Container was delivered to consignee in sound and sealed condition."
IPIC-1091,"No apparent cargo damage as reported by the surveyor. We have requested a photograph from the surveyor of the missing baffle plate to allow recovery action against the contractor who inspected/released the container."
IPIC-1092,Agree with surveyors remarks. In the event a claim is submitted data logger required. 
IPIC-1094,Surveyors comments noted.
IPIC-1095,"No issue reported to cargo by surveyor. In the unlikely event a claim is submitted we will then comment accordingly on the data logger readings. "
IPIC-1098,"We would recommend to pursue recovery action against vessel owner of Helene S and Balboa Port Terminal. The problems with rising temperature seem to have started on the 11th January, whilst container was on board  the Helena S. Temperature was 15.84 C at point of discharge. In particular Balboa Terminal did not take corrective actions, although container repeatedly displayed alarm codes 517 & 522. Container was standing in Balboa Terminal for 4 days, which would allow sufficient time to repair or to arrange cross stuffing to a different container in case repair was not possible."
IPIC-1099,"No comment, other than shippers Temptale indicates some issue whether power off/ or reefer malfunction. Would concur with surveyors recommendation for data logger - to determine cause and whether recovery action can be pursued against the vessel.  "
IPIC-1100,"We would agree with the surveyors comments regarding incorrect supply temperature for the first 9 days of the transit. The pattern with return readings below supply is not disimilar to the evaporator fans moving in the wrong direction. On the 28th, there was some form of human intervention as the supply and return readings rectify and remain so for the duration of the voyage, however by this time the damage to the fruit had already been done. We do not believe the extended voyage time is a factor as bananas in banavac bags should be able to maintain green life in some cases up to 50 days plus, although we would accept it would have exacerbated the situation.  In our opinon them main cause of the bananas ripening is due to a reefer malfunction.  "
IPIC-1104,No cargo damage and consequently no claim to be expected.
IPIC-1106,"We do not agree with the surveyors remarks on causation.  There are 2 types of packing for bananas, polybag which gives a green life of approximately 22 to 26 days. There is then banavac which extends green life to between 35 to 60 days depending on how strong the fruit is. In this case ripes per container were minimal, PONU4507452- 1.02%, MWCU6779151 - 4.27%, and MWCU6943590 - 0.61%.If delay had been an issue then we would have expected a much higher percentage of fruit to be affected. Under the circumstances we consider the cause of ripes is either due to forward maturity at the time of packing, i.e. Sigatoka, or disease manifesting during the course of transit leading to premature ripening and not transit related.    "
IPIC-1106,"We do not agree with the surveyors remarks on causation.  There are 2 types of packing for bananas, polybag which gives a green life of approximately 22 to 26 days. There is then banavac which extends green life to between 35 to 60 days depending on how strong the fruit is. In this case ripes per container were minimal, PONU4507452- 1.02%, MWCU6779151 - 4.27%, and MWCU6943590 - 0.61%.If delay had been an issue then we would have expected a much higher percentage of fruit to be affected. Under the circumstances we consider the cause of ripes is either due to forward maturity at the time of packing, i.e. Sigatoka, or disease manifesting during the course of transit leading to premature ripening and not transit related.    "
IPIC-1106,"We do not agree with the surveyors remarks on causation.  There are 2 types of packing for bananas, polybag which gives a green life of approximately 22 to 26 days. There is then banavac which extends green life to between 35 to 60 days depending on how strong the fruit is. In this case ripes per container were minimal, PONU4507452- 1.02%, MWCU6779151 - 4.27%, and MWCU6943590 - 0.61%.If delay had been an issue then we would have expected a much higher percentage of fruit to be affected. Under the circumstances we consider the cause of ripes is either due to forward maturity at the time of packing, i.e. Sigatoka, or disease manifesting during the course of transit leading to premature ripening and not transit related.    "
IPIC-1107,"Agree with surveyors remarks, issue pre- shipment and not transit related. "
IPIC-1109,"Surveyors comments noted.Our analysis of the data logger show that temperatures were maintained in range set point during voyage.It is correct that set point was changed approximately 2 days after departure from -0.5 degree C to 7.5 degree C and remained there for approximately 6 days, after which it was again changed back to -0.5 degree C. and this particular temperature regime is called PAD7. It is quite common that plums from South Africa are shipped in dual temperature mode, as per guide lines from PPECB. This particular consignment was shipped under PPECB temperature regime PAD7, as stated on the enclosed BL.Container was operating normally and no indication of malfunction observed, hence it is our opinion that any cargo damage observed, is not carriage related."
IPIC-1110,No comment. 
IPIC-1111,No comment. 
IPIC-1112,No comment. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1113,Recovery against third parties whose care the containers were in during period off power. 
IPIC-1114,"surveyors comments noted.Data logger confirms that temperatures were within acceptable range of set point, the entire voyage. The event log does not indicate any malfunction during voyage."
IPIC-1116,"Under the bill of lading were 7 containers with issues only recorded with the 2 containers in question. We are aware of other issues with containers shipped on the Maersk Niamey. MWCU6267263. The unit was gated in on the 10th January at 13.00 hrs. Supply readings are 20 C plus which either means the unit was malfunctioning or was off power with battry back up recordings. On the 11th loaded to the vessel and the high supply readings continue with readings above 30 C recorded. On the 14th readings start to drop. By the 19th supply is at 11.9 C and return 14.0 C. Readings then stop. Shippers Temptale 2327844907, reflects similar readings from the 11th to 17th January peaking at 34 C, and thereafter runnig at 15 C for the duration of the voyage.   Without the event log difficult to be more precise on the cause, but at this stage would recommend recovery action pursued against third party vendors responsible for PTI and the vessel operators. Surveyors have attributed 20% defects to preshipment quality issues and this may have exacerbated the situation and should be taken into account if settlement is to be considered. MSWU0112727 logger was activated on the 10th January, with supply at 16.56  C and falling by the hour. Return air is within 2  of set point after 18 hours which is witihn acceptable levels. On the 31st January readings stop at 10.44 and start again on the 2nd February a lapse of 49 hours. Readings stop on the 5th date of discharge. In our opinion the power off periods most likely caused the temperature of the bananas to increase, triggering the ripening process which is irreversible.  Recommend recovery action against the vessel. Surveyor has commented 30% quality defects and this should be taken into account if settlement is to be considered.  "
IPIC-1116,"Under the bill of lading were 7 containers with issues only recorded with the 2 containers in question. We are aware of other issues with containers shipped on the Maersk Niamey. MWCU6267263. The unit was gated in on the 10th January at 13.00 hrs. Supply readings are 20 C plus which either means the unit was malfunctioning or was off power with battry back up recordings. On the 11th loaded to the vessel and the high supply readings continue with readings above 30 C recorded. On the 14th readings start to drop. By the 19th supply is at 11.9 C and return 14.0 C. Readings then stop. Shippers Temptale 2327844907, reflects similar readings from the 11th to 17th January peaking at 34 C, and thereafter runnig at 15 C for the duration of the voyage.   Without the event log difficult to be more precise on the cause, but at this stage would recommend recovery action pursued against third party vendors responsible for PTI and the vessel operators. Surveyors have attributed 20% defects to preshipment quality issues and this may have exacerbated the situation and should be taken into account if settlement is to be considered. MSWU0112727 logger was activated on the 10th January, with supply at 16.56  C and falling by the hour. Return air is within 2  of set point after 18 hours which is witihn acceptable levels. On the 31st January readings stop at 10.44 and start again on the 2nd February a lapse of 49 hours. Readings stop on the 5th date of discharge. In our opinion the power off periods most likely caused the temperature of the bananas to increase, triggering the ripening process which is irreversible.  Recommend recovery action against the vessel. Surveyor has commented 30% quality defects and this should be taken into account if settlement is to be considered.  "
IPIC-1117,"Even though the loss occurred in February we only became aware at the end of July.We would imagine this is a brine frozen shipment that was hot stuffed with the result the brine solution dripped through the floor blocking the air channels.When the box was under power the brine then froze causing blockage of air and short circuiting. Logger not available on RCM. The logger attached to the report is only activated on the 1st January 2015, whereas the unit was loaded on or about the 16th December 2014. To comment further data logger will be required in raw format.       "
IPIC-1118,Agree with comments made. 
IPIC-1120,"Datal ogger received, indicated power off. Cause still under investigation, awaiting details on gate out and gate in and will then issue an addendum report.   "
IPIC-1122,"Product shelfl ife of clementines is approximately 4- 6 weks, (Snowdon 1999). In this case voyage was 46 days - so PSL is an issue. Surveyors comments noted that after re-selection the fruit was still saleable, We would also raise the issue of the pallet height and it evident from photos attached that the horizontal load line had been exceeded, which would impair the airflow in the container and consequently the quality of the fruit.  "
IPIC-1123,"Under the bill of lading were 6 containers. No other issues reported. Bananas will develop signs of chill at 12.8C.MNBU3124288 was activated on the 21st December. Return air indicates some pre-cooling had already taken place. Otherwise supply and return readings are in line with settings. No alarm codes are recorded. Shippers Temptale 2747303997 was activated on the 18th December which would account for our comments above.       From the 5th January the trace drops below 13C, and remains at this level until the end of the voyage with on occasion readings down to 12.5C.MNBU3250840Readings commence on the 22nd December at 08.25, and as above reflect some pre-cooling had already taken place. Supply and return readings show temperatures were within acceptable parameters. Shippers Temptale 2717300592 was activated on the 17th December and records immediately temperatures below set point and down to 12.7C. The trace for the most part of the journey records readings below set point and on some occasions down to 12.5C. To summarize the surveyor has reported UPD, and the photographs provided do reflect dullness to the epidermis. Both data logger readings commence on the 21st December, whereas the shippers Temptales were activated on the 17th/18th December. The question to be addressed is whether the bananas had been packed into the containers at this stage. If not then it is possible UPD  occurred during this initial cooling period.    Maersk Line data loggers record nothing untoward with supply/return whereas the fruit and the shippers Temptales reflect low temperatures during transit.     ,   "
IPIC-1123,"Under the bill of lading were 6 containers. No other issues reported. Bananas will develop signs of chill at 12.8C.MNBU3124288 was activated on the 21st December. Return air indicates some pre-cooling had already taken place. Otherwise supply and return readings are in line with settings. No alarm codes are recorded. Shippers Temptale 2747303997 was activated on the 18th December which would account for our comments above.       From the 5th January the trace drops below 13C, and remains at this level until the end of the voyage with on occasion readings down to 12.5C.MNBU3250840Readings commence on the 22nd December at 08.25, and as above reflect some pre-cooling had already taken place. Supply and return readings show temperatures were within acceptable parameters. Shippers Temptale 2717300592 was activated on the 17th December and records immediately temperatures below set point and down to 12.7C. The trace for the most part of the journey records readings below set point and on some occasions down to 12.5C. To summarize the surveyor has reported UPD, and the photographs provided do reflect dullness to the epidermis. Both data logger readings commence on the 21st December, whereas the shippers Temptales were activated on the 17th/18th December. The question to be addressed is whether the bananas had been packed into the containers at this stage. If not then it is possible UPD  occurred during this initial cooling period.    Maersk Line data loggers record nothing untoward with supply/return whereas the fruit and the shippers Temptales reflect low temperatures during transit.     ,   "
IPIC-1124,"The shippers temperature trace is of such poor quality that we are unable to report on such. From the photographs provided, we are of the opinion that the waste is of a pre-shipment nature manifesting during the course of transit. Data logger required to verify temperature during the course of transit. "
IPIC-1126,"Surveyors comments noted. The temperatures start to rise whilst container still on board the vessel and continues after discharge. Would recommend vessel operators as well as terminal Rotterdam are held liable. "
IPIC-1128,"Surveyors comment noted. In case a formal claim is received, we would require the data logger for analysis in order to investigate root cause. The quality of shippers temptale records attached to this report, are of such quality that it makes them quite difficult to read and to confirm recordings."
IPIC-1129,No comment. 
IPIC-1130,"We are aware of power outage to a number of containers due to heavy weather and spray on deck. However, MMAU1038495  does not appear to have been affected. We are aware of general quality issues with Belize fruit during this period and this is the most likely cause.In the event a claim is submitted we will comment in more detail on causation. "
