IPIC Ref No.,IPIC Comment
IPIC-4685,"Surveyors comments noted.Our analysis of data logger from PONU4959196 show that reefer was operating normally and that temperatures were maintained within range of set point.With regards to PONU4925914, no data logger was found in RCM. In the event that a formal claim is received, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4678,"Surveyors comments noted.As stated by surveyor, the data logger show that both containers were of power for the remaining voyage, after being discharged in Salalah, Oman.We recommend that full recovery is pursued against the port of Salalah, for not connecting reefer's to power and subsequent causing damage to the cargo."
IPIC-4678,"Surveyors comments noted.As stated by surveyor, the data logger show that both containers were of power for the remaining voyage, after being discharged in Salalah, Oman.We recommend that full recovery is pursued against the port of Salalah, for not connecting reefer's to power and subsequent causing damage to the cargo."
IPIC-4591,"Surveyors comments noted.We agree with surveyors comments about poor stowage, with cartons leaning against the door and effectively obstructing the air flow causing lack of cooling, hence the partly thawed cargo.The thawing of parts of the cargo, may have led to water escaping from the cartons and into the T-floor, where it would have caused ice build-up and thereby exacerbating the air flow obstruction and lack of cooling capacity. Our analysis of the data logger does not indicate that any mechanical malfunction took place, although temperatures fluctuated outside the range of set point, which we believe was due significant reduced air flow.Furthermore, the log show that on 18-19/11, whilst still under shippers care, the container was off power for approximately 34.5 hrs, with temperature rising outside range of set point, which may have contributed to an already poor stow becoming unstable as the moisture content of the cartons increased and they became soft and deformed.Based on current facts at hand, we recommend that any claim is rejected and referred back to shipper, due to poor stowage."
IPIC-4676,"Cause would not appear to be temperature related.If a claim is presented we will comment in more detail on this aspect together with the other surveys made in Holland during this period all of which are similar. "
IPIC-4676,"Cause would not appear to be temperature related.If a claim is presented we will comment in more detail on this aspect together with the other surveys made in Holland during this period all of which are similar. "
IPIC-4676,"Cause would not appear to be temperature related.If a claim is presented we will comment in more detail on this aspect together with the other surveys made in Holland during this period all of which are similar. "
IPIC-4681,"Both reefers had issues with either malfunction or periods off power, but as the surveyor has remarked the condition of the fruit was similar to other containers seen and pulp temperatures on delivery were within acceptable parameters. Under the circumstances and as this forms part of a spate of claims over a relatively small period of time we would recommend that if a claim is presented, all files are reviewed to provide a constant opinion on the cause of loss. "
IPIC-4681,"Both reefers had issues with either malfunction or periods off power, but as the surveyor has remarked the condition of the fruit was similar to other containers seen and pulp temperatures on delivery were within acceptable parameters. Under the circumstances and as this forms part of a spate of claims over a relatively small period of time we would recommend that if a claim is presented, all files are reviewed to provide a constant opinion on the cause of loss. "
IPIC-4684,Reefer malfunction towards the later part of the voyage. Leading to partial premature ripening. 
IPIC-4674,"Surveyors comments noted.Reefer unit operated correctly, without any indication of malfunction and  with supply air temperature below set point.However there is a significant amount of ice build-up in the T-floor, which cause the air flow to be obstructed and subsequent reduced the airflow, but still the return air temperature was maintained within range of set point."
IPIC-4708,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim is expected."
IPIC-4697,"Surveyors comments noted."
IPIC-4693,"There were issues with the data logger readings at the start of the transit with the unit off power and a possible faulty return sensor leading to deterioration to the grapes. Recovery action against the owners of the vessel as the container was in their care at the time.    "
IPIC-4691,Await claim details and temperature records to comment further. 
IPIC-4698,"Surveyors comments noted.The data logger confirms that set point was changed several times and that reefer unit was operating correctly."
IPIC-4703,"Surveyors comments noted.Our analysis of the data logger show that reefer unit was working normally and maintaining the temperature within range of set point.We found no indication of malfunction, hence our opinion that this is not transit related and that any claim should be refuted."
IPIC-4706,"Surveyors comments noted.Our analysis of the data loggers show following:MSWU0103767Unit was initially malfunctioning and supplying air around 6-7 degree C. in the first 27 hrs of voyage, which may be the cause of the fruit in this container being further in the ripening process.Again on 30-31/12 there is a 29 hrs period with supply air temperature being outside range.MWMU6415170Reefer unit was operating normally, without any indication of malfunction and with temperatures in range of set point."
IPIC-4706,"Surveyors comments noted.Our analysis of the data loggers show following:MSWU0103767Unit was initially malfunctioning and supplying air around 6-7 degree C. in the first 27 hrs of voyage, which may be the cause of the fruit in this container being further in the ripening process.Again on 30-31/12 there is a 29 hrs period with supply air temperature being outside range.MWMU6415170Reefer unit was operating normally, without any indication of malfunction and with temperatures in range of set point."
IPIC-4704,Surveyors comments noted.
IPIC-4767,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected.Our analysis of the data logger, did not give any indication of reefer malfunction. Temperatures are within range of set point."
IPIC-4707,"Surveyors comments noted.Our analysis of the data logger confirms that temperature was maintained within range of set point during the voyage."
IPIC-4709,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for this consignment. In the event of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4718,"MMAU 1203563. - No data in RCM. MMAU1106727 - Logger activated on the 10th December at 09.32, corresponding with gate in. Return temperatures are in line with a pre-cooled cargo. Co2 levels are reached on the 11th at 05.35, with oxygen still dropping with required levels reached on the 14th. Co2 readings on average were 2% above settings, we consider it unlikely this would be the cause bearing in mind some shippers use 5% Co2. We do not believe ethanol testing was performed to ascertain whether the  fruit had turned anaerobic.To comment further, data logger for MMAU1203563 required. ,  "
IPIC-4718,"MMAU 1203563. - No data in RCM. MMAU1106727 - Logger activated on the 10th December at 09.32, corresponding with gate in. Return temperatures are in line with a pre-cooled cargo. Co2 levels are reached on the 11th at 05.35, with oxygen still dropping with required levels reached on the 14th. Co2 readings on average were 2% above settings, we consider it unlikely this would be the cause bearing in mind some shippers use 5% Co2. We do not believe ethanol testing was performed to ascertain whether the  fruit had turned anaerobic.To comment further, data logger for MMAU1203563 required. ,  "
IPIC-4724,"CA  failure from the onset of transit with oxygen maintained at 20%, and CO2  low, consequently with a 57 day transit time bananas ripened in transit. Recovery action against various terminal operators/vessel operators for not repairing unit or advising parties concerned of the issue. "
IPIC-4705,"Reefer malfunction, possibly return sensor leading to rise in temperature during the course of transit and the rejection of 93 cartons as chilled.  "
IPIC-5231,"Surveyors comments noted.Cargo found in apparent good condition, hence no claim expected."
IPIC-4720,"Surveyors comments noted, no issue to cargo and shipment to proceed to Angola. "
IPIC-4721,"Data logger not available in RCM. Such has been requested but not received todate. With the information to hand it is not clear whether the container was delayed in Panama from the 21st December 2015 to 7th January 2016, due to operational issues, or a reefer malfunction. Subject to the answer a recovery action maybe possible against third parties.  From the photographs provided of the colouration of the fruit, and the pulp temperatures recorded, then the actions taken by consignees were not unreasonable. Finally avocado are normally shipped under CA  conditions, we note that was not the case in this instance and would recommend the booking confirmation is reviewed to establish what was requested.  "
IPIC-4715,"Surveyors comments noted.The analysis of the data logger confirms that reefer unit was operating normally and that temperatures were maintained within acceptable range of set point."
IPIC-4722,"According to the surveyor RCM  logs record acceptable temperatures throughout the voyage. Therefore, it would seem a claim will be unlikely. However, if a claim is presented then an addendum report can be issued to comment in more detail on the reefer logs and  the quantum of loss. "
IPIC-4722,"According to the surveyor RCM  logs record acceptable temperatures throughout the voyage. Therefore, it would seem a claim will be unlikely. However, if a claim is presented then an addendum report can be issued to comment in more detail on the reefer logs and  the quantum of loss. "
IPIC-4722,"According to the surveyor RCM  logs record acceptable temperatures throughout the voyage. Therefore, it would seem a claim will be unlikely. However, if a claim is presented then an addendum report can be issued to comment in more detail on the reefer logs and  the quantum of loss. "
IPIC-4722,"According to the surveyor RCM  logs record acceptable temperatures throughout the voyage. Therefore, it would seem a claim will be unlikely. However, if a claim is presented then an addendum report can be issued to comment in more detail on the reefer logs and  the quantum of loss. "
IPIC-4722,"According to the surveyor RCM  logs record acceptable temperatures throughout the voyage. Therefore, it would seem a claim will be unlikely. However, if a claim is presented then an addendum report can be issued to comment in more detail on the reefer logs and  the quantum of loss. "
IPIC-4774,"Surveyors comments noted.Unfortunately the data logger retrieved from RCM is incomplete, as it only holds recording from the 6th November until 20th November @ 0.00 hrs.From this data logger it can be noted that only 2 USDA probes were used and that cargo core temperature at the time of loading was around -45 to -48 degree C.It took approximately 2 days before both probes showed cargo core temperature within range of set point.There is nothing in the data log that suggests reefer malfunction.In order to comment further, and in the event of a formal claim, we would require the actual data logger to downloaded and forwarded for further analysis."
IPIC-4725,"UPD seen is conducive to lower than expected temperature during transit. From the limited data logger readings on the 4th/5th January return dropped below set point that should not be the case and maybe the cause of the UPD.. "
IPIC-4726,Surveyors comments noted.
IPIC-6330,"Surveyor issued narrative report, and not IPIC. Therefore, unable to comment on the circumstances of the loss. "
IPIC-4764,"Reefer issue and or off power, recovery action against the vessel operators of the Ocean Promise. "
IPIC-4762,"Surveyors comments noted.Our analysis of the data logger show that unit started to malfunction on 08/01/2016 and subsequent the unit was no longer able to maintain the temperature within range of set point.It is likely that malfunction was caused by low level of refrigerant and the subsequent loss of cooling capacity.However, cargo was found in apparent sound condition, hence no claim expected."
IPIC-4760,"Surveyors comments noted.Severe ice build-up which obstructed the air flow, resulting in reduces cooling capacity and causing rise in temperature and subsequent cargo damage."
IPIC-4743,Surveyors comments noted.
IPIC-4744,"Unable to access RCM  log. From the remarks made by the surveyor, and the shippers temperature graph, believe the issue is most likely fruit loaded warm with the unit slowly reducing the temperature. Initially, would recommend claim is refuted, and subject to claimants response more detailed analysis maybe required of the data logger and the surveyors comments on quantum. "
IPIC-4758,"Surveyors comments noted.Our analysis of the data logger confirm the malfunction, with several alarms displayed during voyage, furthermore the unit was subject to a live reefer repair where the faulty supply air sensor was replaced.The return air temperature was not maintained within range of set point."
IPIC-4813,"Surveyors comments noted.Produce not inspected, hence condition unknown.Our analysis of the data logger show that container did malfunction, with alarms indication that compressor temperature was too high. This could have caused by lack of refrigerant or defective compressor."
IPIC-4789,"Surveyors comments noted.Cargo found hard frozen and in apparent good condition, hence no claim expected."
IPIC-4766,"The surveyor makes no reference to the cross stuffed container, which from the photographs provided would appear to be MNBU3071676. Temperatures, ranging from -0.8 to -9.8 C, will cause touch welding and or blocking of the blueberries and subject to the extent there maybe issues with the fruit when delivered to consignees in the USA.   "
IPIC-4770,"Surveyors comments noted.Our analysis of the data logger confirms that both reefer units were working correctly and that no indication of malfunction was found.Temperatures were maintained within range of set point."
IPIC-4770,"Surveyors comments noted.Our analysis of the data logger confirms that both reefer units were working correctly and that no indication of malfunction was found.Temperatures were maintained within range of set point."
IPIC-4757,Surveyor reports received sound no claim.
IPIC-4747,"Surveyors comments noted.With regards to MSWU0002118 & MSWU0068497, we would recommend that recovery is pursued against Vega Beta vessel operator/owner for insufficient power supply and subsequent cargo damage.MMAU1057073 seems to have malfunctioned, displaying ""TSUC Invalid"" alarms and ice build-up in the T-floor and behind the air guide, during the period of high return air temperature."
IPIC-4747,"Surveyors comments noted.With regards to MSWU0002118 & MSWU0068497, we would recommend that recovery is pursued against Vega Beta vessel operator/owner for insufficient power supply and subsequent cargo damage.MMAU1057073 seems to have malfunctioned, displaying ""TSUC Invalid"" alarms and ice build-up in the T-floor and behind the air guide, during the period of high return air temperature."
IPIC-4747,"Surveyors comments noted.With regards to MSWU0002118 & MSWU0068497, we would recommend that recovery is pursued against Vega Beta vessel operator/owner for insufficient power supply and subsequent cargo damage.MMAU1057073 seems to have malfunctioned, displaying ""TSUC Invalid"" alarms and ice build-up in the T-floor and behind the air guide, during the period of high return air temperature."
IPIC-4741,See surveyors comments - Customer Service cancelled survey request without reason.
IPIC-4742,No reason given for cancellation of survey.
IPIC-4822,"Surveyors comments noted.As per booking confirmation we can see that the plums are shipped under dual temperature regime (PD5).However whilst still on the vessel, the set point was changed to +7.5 degree C twice during the voyage, although it was supposed to have been once only.We recommend that full recovery is pursued against vessel owner/operator for updating set point incorrect and subsequently damage the cargo."
IPIC-4821,"Surveyors comments noted.Our analysis of the data logger show that the reefer unit was operating normally, with no indication of malfunction and maintaining the temperature within range of set point during the entire voyage.Consequently, the cargo damage is not caused by a transit fortuity."
IPIC-4776,"Surveyors comments noted.Our analysis of the data logger show that the container, after loading to vessel  W23 in ARPDOPT on 31/10/2015, was off power approximately 64 times over a 7 day period whilst on board W23, during which period the temperature increased up to -9.76 degree C.We recommend that full recovery action is pursued against the vessel owner/operator for insufficient power supply, resulting in temperature rise and subsequent cargo damage."
IPIC-4783,"Consignment was cross stuffed to allow onward transit to New Zealand. We are not sure whether import into New Zealand will be allowed as it is not clear from the report whether the correct government authorities were present at the time of cross stuffing, and the temperatures recorded by the surveyor would also be of concern for pork. We will monitor the IPIC portal to see if a survey is requested in New Zealand, if so, we will then see what the issues are, and contact the surveyor in Panama for further assistance or to advise what steps need to be taken in the future.    "
IPIC-4775,"Surveyors comments noted.Our analysis of the data logger show that said reefer unit malfunctioned, hence the temperatures were no longer maintained within range of set point. "
IPIC-4804,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected.In the event of a formal claim, we would require the data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4772,Surveyors advised duplicated instruction see IPIC 4747 for survey findings.
IPIC-4796,"Surveyors comments noted.Our analysis of the data logger show that reefer unit malfunctioned, displaying several different alarms related to compressor and sensors amongst other.The reefer was not able to maintain the temperature within range of set point.Cargo was found soft to touch and most likely a claim will be received, however the final decision with be made by consignee upon final delivery."
IPIC-4790,"Analysis of RCM  log, reefer malfunction during the course of transit, Frequency controller issues and low refrigerant, consequently the temperature rose, triggering part of the consignment.   Situation exacerbated by the level of crown rot. Recovery against vessel operator for not repairing unit and or alerting parties concerned.  "
IPIC-4791,"From our analysis of the RCM log we believe the issue is attributable to a reefer malfunction. The soft ripes are due to elevated temperatures on the 11th January with supply and return both showing high readings. The UPD is due to very low ambient -14C, with the unit not triggering into heat mode as return sensor readings are below set point.  "
IPIC-4841,"Surveyors comments noted.Our analysis of the data logger confirm that reefer unit malfunctioned, subsequent the temperature could no longer be maintained within range of set point.Most likely the malfunction was caused by leaking/low level refrigerant, causing lack of cooling capacity and subsequent temperature increase.The final outcome with regards to cargo is yet to be decided."
IPIC-4872,"Surveyors comments noted.Surveyor did not take any cargo temperature, but our data logger analysis show that on 13/1 (date of cross stuffing) the supply air temperature was around -14 degree C and return air was around -10 degree C.Although the temperatures are clearly outside range of set point, it still suggests that cargo would be hard frozen, which is supported by surveyor photos."
IPIC-4852,"Surveyors advised this was a duplicated instruction - report submitted under IPIC 4791.PLEASE SEE IPIC 4791 for full survey findings."
IPIC-4853,Duplicated instruction see IPIC 4790 for survey findings.
IPIC-5157,"Surveyors comments noted.No loss, hence no claim expected."
IPIC-5157,"Surveyors comments noted.No loss, hence no claim expected."
IPIC-5300,Duplicate of IPIC 4872
IPIC-4798,Surveyors comments noted.
IPIC-4825,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected."
IPIC-4871,Surveyor/ consignees considered consignment sound no claim. 
IPIC-4855,Surveyor reports no issues with the consignment.   
IPIC-4855,Surveyor reports no issues with the consignment.   
IPIC-4834,"Surveyor has submitted 2 shippers temptales with no identification to which container. Currently waiting clarification on this point. RCM log was activated on the 9th December, date gate in. Return air is within 2  of set point after 38 hours.    From the 28th December return readings start to drop below set point which should not be the case and by the 4th January are below 13 C, and drop below 12.8 C the point where chill will develop. Event log records heat max mode during this period but it would seem this was not sufficient to  deal with the low ambient temperatures. MWCU6679867 - logger activated on the 8th December. After 27 hours return air is within 2 C of set point. Of concern supply air dropped to a low of 4.83 C, and for 18 hours was out of protocol for Quest.  "
IPIC-4834,"Surveyor has submitted 2 shippers temptales with no identification to which container. Currently waiting clarification on this point. RCM log was activated on the 9th December, date gate in. Return air is within 2  of set point after 38 hours.    From the 28th December return readings start to drop below set point which should not be the case and by the 4th January are below 13 C, and drop below 12.8 C the point where chill will develop. Event log records heat max mode during this period but it would seem this was not sufficient to  deal with the low ambient temperatures. MWCU6679867 - logger activated on the 8th December. After 27 hours return air is within 2 C of set point. Of concern supply air dropped to a low of 4.83 C, and for 18 hours was out of protocol for Quest.  "
IPIC-4801,"Surveyors comments noted.Our analysis of data loggers show that both reefer units were operating normally, without any indication of malfunction and maintaining the temperatures within range of respective set points."
IPIC-4801,"Surveyors comments noted.Our analysis of data loggers show that both reefer units were operating normally, without any indication of malfunction and maintaining the temperatures within range of respective set points."
IPIC-4854,"Surveyor comments no issues found with the fruit.Concerning the reference to low temperature towards the end of the transit there was no evidence of chilling injury to the fruit as denoted by the surveyors photographs. Therefore, we believe if a claim is presented it should be repudiated, if claimants continue to press the matter we will review the RCM log in more detail.    "
IPIC-4802,"Consignment as reported by surveyor and consignees in a sound condition, therefore no issues. "
IPIC-4802,"Consignment as reported by surveyor and consignees in a sound condition, therefore no issues. "
IPIC-4812,"Surveyors comments noted.We recommend that full recovery is pursued against the terminal/depot in ZACPT due to wrong temperature settings and subsequent cargo damage."
IPIC-4838,surveyors comments noted.
IPIC-4829,"Surveyors comments noted.In the event that a formal claim is received, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4810,"Surveyors comments noted.Our analysis of the data logger confirms that reefer unit was working correctly and that temperatures were maintained within range of set point during the entire voyage.We have found no evidence of any malfunction."
IPIC-4806,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MSWU0008034, consequently we are not able to comment on actual events and temperatures, but we believe it is likely that it will show same patterns the 3 remaining container under this BL.Our analysis of the data loggers for MSWU9037183, MSWU1020456 & MNBU3213580 confirm that containers were subject to irregular power supply whilst said to on board VEGA BETA.The irregular power supply caused temperatures to rise significantly outside the range of set point.We recommend that full recovery is pursued against the vessel owner/operator  of VEGA BETA for insufficient power supply, frequent power off periods, causing the temperature to rise and subsequent cargo damage."
IPIC-4806,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MSWU0008034, consequently we are not able to comment on actual events and temperatures, but we believe it is likely that it will show same patterns the 3 remaining container under this BL.Our analysis of the data loggers for MSWU9037183, MSWU1020456 & MNBU3213580 confirm that containers were subject to irregular power supply whilst said to on board VEGA BETA.The irregular power supply caused temperatures to rise significantly outside the range of set point.We recommend that full recovery is pursued against the vessel owner/operator  of VEGA BETA for insufficient power supply, frequent power off periods, causing the temperature to rise and subsequent cargo damage."
IPIC-4806,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MSWU0008034, consequently we are not able to comment on actual events and temperatures, but we believe it is likely that it will show same patterns the 3 remaining container under this BL.Our analysis of the data loggers for MSWU9037183, MSWU1020456 & MNBU3213580 confirm that containers were subject to irregular power supply whilst said to on board VEGA BETA.The irregular power supply caused temperatures to rise significantly outside the range of set point.We recommend that full recovery is pursued against the vessel owner/operator  of VEGA BETA for insufficient power supply, frequent power off periods, causing the temperature to rise and subsequent cargo damage."
IPIC-4806,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MSWU0008034, consequently we are not able to comment on actual events and temperatures, but we believe it is likely that it will show same patterns the 3 remaining container under this BL.Our analysis of the data loggers for MSWU9037183, MSWU1020456 & MNBU3213580 confirm that containers were subject to irregular power supply whilst said to on board VEGA BETA.The irregular power supply caused temperatures to rise significantly outside the range of set point.We recommend that full recovery is pursued against the vessel owner/operator  of VEGA BETA for insufficient power supply, frequent power off periods, causing the temperature to rise and subsequent cargo damage."
IPIC-4808,"Surveyors comments noted on cause and it would seem this would be grounds to reject the claim. If and as we would expect the matter is pursued by claimants then we will study the data and Event log in more detail and comment accordingly.    "
IPIC-4809,Surveyors comments noted
IPIC-4814,"Surveyors comments noted.Reefer unit suffered from malfunction from onset of voyage, possibly a defective power module PCB."
IPIC-4835,"No data in RCM. From the shippers Temptale 2327940176, it is evident from the 8th January the trace drops from set point down to 8.3 C, by the end of the transit. Wec would assume this was due to low ambient temperatures and the unit not heating sufficiently. "
IPIC-4823,"Surveyors comments noted.It seems highly likely that fire was caused by short circuit in either the wiring loom, fan motor or control box."
IPIC-4849,"Agree with the surveyors remarks. Photographs reflect sour rot and penicillium moulds that are of a pre-shipment nature. Claim to be refuted. "
IPIC-4836,"Logger was activated on the 10th December at 1300hrs. after 39 hours return sensor readings are within 2  of set point.  On the 5th January return starts to drop below set point, which should not be the case.  Readings stop on the 15th January. Delivery to consignees was on the 16th, with pulp temperatures ranging between 10.1 to 11.5 C, at the time. Bananas will develop chill at 12.8  and below. In our opinion despite return air dropping below set point, recordings above 12.8 C were maintained. In our opinion the most likely cause of chilling due to low outside ambient air temperatures between St Petersburg to Moscow, with no gen set used.  "
IPIC-4837,Surveyors comments noted and agree with cause of damage.
IPIC-4826,"Surveyor reports no loss. In the event a claim is submitted then we will review the data logger and report accordingly.  "
IPIC-4832,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected"
IPIC-4828,"In the event a claim is submitted, we will then comment in more detail on the data logger readings and request the surveyors remarks on quantum of loss. "
IPIC-4840,In the event a claim is submitted we would recommend a recovery action against the vessel operators.  
IPIC-4859,"Surveyors comments noted.Our analysis of the data logger show that reefer unit malfunctioned, displaying several alarms related to a complete sensor failure, causing the unit to stop on the 8/1 and remain off line till end of voyage."
IPIC-4858,surveyors comments noted.
IPIC-4846,"Cargo in a sound condition, no issues. "
IPIC-4845,"Surveyors comments noted.Our analysis of the data logger show that reefer unit was operating correctly and that temperature was maintained within range of set point.However it also show that cargo was not presented to carrier at requested set point of -20 degree C, but only around -8 to -10 degree C and the pull down took approximately 27 hrs before cargo was within range of set point.We found no alarms indicating reefer malfunction.We recommend to refute in the event of a formal claim and refer it back to shipper, as we do not believe the  cargo damage being related to any parts of the transit."
IPIC-4889,"Surveyors comments noted.We recommend that full recovery is pursued against the port of Balboa for causing container damage and subsequent cargo damage."
IPIC-4861,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for this consignment and are therefore unable to comment on temperatures and events.In case a formal claim is received, we would require the actual data logger to be downloaded and forwarded, along with RKEM tracking details, for further analysis into root cause and potential recovery."
IPIC-4860,Please see IPIC 4889 
IPIC-4847,"Controlled atmosphere container. RCM log records from the 21st December return air starts to rise as is also the case with supply air briefly. The upward trend continues with return air with temperatures in excess of 20 C recorded. This trend lasts for the duration of the transit. Recovery action against vessel operators. "
IPIC-5031,"Impact damage to container. Surveyor reports nothing untoward with cargo. Temperatures of -1.8 to -10.2C,  would however, be of concern with fish. Recovery action against terminal Panama "
IPIC-5076,"Surveyors comments noted.Our analysis of the data logger show that reefer was operating correctly, without any indication of malfunction and the temperature was maintained within range of set point.Photos show the leaves still being green and without signs of dehydration. It is also evident that some Clementine are found with sour rot and penicillin mould, which is quite common in citrus.The delay may have exacerbated this, but in our opinion not the main cause.We recommend that any claim is repudiated. "
IPIC-5080,"Surveyors comments noted.Our analysis of the data logger show that reefer unit was operating correctly, without any indication of malfunction and temperature was maintained within range of set point."
IPIC-5074,"Surveyors comments noted.Our analysis of the data logger show that reefer unit was operating correctly, without any indication of malfunction and the temperature was maintained within range of set point during the entire voyage."
IPIC-5078,"Surveyors comments noted.Reefer unit was operating correctly, without any indication of malfunction and the temperature was kept within range of set point."
IPIC-5077,"Surveyors comments noted.Our analysis of the data logger show that reefer unit was operating correctly, without any alarms or other indication of malfunction, and the temperature was kept within range of requested set point during the voyage."
IPIC-5073,"Surveyors comments noted.All cargo accepted, hence no claim expected."
IPIC-5075,Surveyor reports consignees accepted cargo without an issue. 
IPIC-5079,"Surveyors comments noted.Cargo accepted by consignee, hence no claim expected"
IPIC-4869,"Surveyors comments noted.Our analysis of the data logger show that reefer unit suffered malfunction and subsequent high temperature between 15/12 and  5/1.The malfunction was due to issues with the frequency converter."
IPIC-4880,No issues reported to the fruit at the time of the cross stuffing operation. 
