IPIC Ref No,IPIC Comment
IPIC-29191,"Fyffes advised duplicated instruction.  SEE IPIC 29190 for survey findings."
IPIC-29192,"1 of 45 containers shipped under the bill of lading. No other reported issues. Cause of complaint ripes. From our analysis of the data logger we do not believe carriage temperature was an issue.Oxygen should have been maintained at 3%. After an initial reduction from the 9th December levels start to rise and this tend then continues to be the case for the duration of the transit. Consequently, respiration of the fruit was higher than requested and most likely lead to premature ripening during the course of transit."
IPIC-29194,
IPIC-29195,
IPIC-29197,
IPIC-29201,"Cargo was found in apparent good condition, however still subject quality check by shipper. Analysis of the data logger show that several alarms were displayed, amongst other related to compressor, current detection, high pressure switch, etc. The various alarms, would most likely explain the malfunction and temperature rising outside range of set point."
IPIC-29202,"Container apparently manipulated and cargo stolen, whilst the container was on a truck for final delivery. Assuming this was merchant haulage, arranged by consignee, hence this is not a transit fortuity and claim due to theft should be rejected."
IPIC-29204,"Impact damage to container..  10 bags milk powder affected by rain water, outer packaging only no apparent damage to contents.  Remaining bags all apparently sound, no facility to 'shrink wrap' therefore it was agreed to cover floor and cargo with  thick plastic sheet."
IPIC-29205,
IPIC-29206,
IPIC-29207,
IPIC-29208,
IPIC-29209,"Evidence would suggest damage to container is as a result of impact with a twist lock during handling, which has allowed ingress of water, causing wetting to cartons.Affected electronic components were individually wrapped in plastic. However, surveyor reports consignee will conduct tests to establish whether they can be used as intended."
IPIC-29210,"Customer Service advise survey allocated to incorrect survey company.SEE IPIC 29214 for survey findings."
IPIC-29211,"Cargo sound, claim withdrawn."
IPIC-29213,"Impact damage to container, requiring cross stuffing of cartons. Some 17 cartons were wet, this is reported to be due to corrosion holes in the roof rather than the result of impact damage. Maybe grounds for rejection as could be deemed shipper should have checked condition of container prior to loading."
IPIC-29214,
IPIC-29215,"Consignment of sweet potatoes deemed a total loss. As identified by the surveyor and recorded by the RCM log the vents were closed and this aspect needs to be verified as whether this was at the instruction of the shipper. Mercantila ""Guide to Food Transport Fruit and Vegetables"" states 0 CBM, however, we are also aware from other shipments of sweet potatoes that vents are open at a host of various settings. Hence the reason for clarification on the booking requirements. Once this information to hand then further comment can be made on causation.Temperature log records nothing untoward."
IPIC-29216,
IPIC-29217,
IPIC-29218,
IPIC-29219,"Cause of loss, theft of aluminium ingots from two containers. We are not in receipt of any documentation identifying shippers, transit details etc. Our recommendation would be that the theft which must have taken some time to accomplish is fully investigated in China and at the transhipment port  Tanjung Pelepas, for 2 reasons, to establish the ingots were in the container in the first place and possible recovery action.If, you require us to make such enquires then please provide full details of parties involved and all necessary documentation you may have received."
IPIC-29219,"Cause of loss, theft of aluminium ingots from two containers. We are not in receipt of any documentation identifying shippers, transit details etc. Our recommendation would be that the theft which must have taken some time to accomplish is fully investigated in China and at the transhipment port  Tanjung Pelepas, for 2 reasons, to establish the ingots were in the container in the first place and possible recovery action.If, you require us to make such enquires then please provide full details of parties involved and all necessary documentation you may have received."
IPIC-29220,
IPIC-29221,
IPIC-29221,
IPIC-29222,
IPIC-29223,"Data logger analysis show that supply and return air was fluctuating, increasing slightly outside range of requested set point and this was caused by overheating evaporator fan motors. We do not believe that  this is the root cause, however it is likely that it may have exacerbated pre-existing conditions within the fruit."
IPIC-29224,
IPIC-29225,
IPIC-29226,
IPIC-29227,
IPIC-29228,
IPIC-29229,
IPIC-29230,
IPIC-29231,"Reason for survey - Shortage / seal check as seal differed from that on bill of lading.Surveyor reports on opening the container door, all aluminium ingot as bundled were found to be intact condition without any signs of pilferage/shortage in the container apparently. After devanned from the container, total 25 bundles of aluminium ingot were delivered to the notify party without any quantity discrepancy.Claim to be withdrawn."
